Iterations	Crammer (2 passages)	cross_entropy (4 passages)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1, 5 passages)	Large_margin (m=4, 1 passage)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
53000	0,2047697306	0,7703793123	0,5573345013	0,7755191214	0,5770006664	0,7881167799	0,7711759806	0,7390265204	0,1000719368	0,3591179848	0,7926260978	0,8001302133	0,0994723042	0,8109580576
53500	0,1943359375	0,7796566598	0,5424290746	0,7958470434	0,5780671788	0,7400287807	0,6375411153	0,7331671454	0,0998149812	0,2924547493	0,8073259344	0,8101699551	0,1002604365	0,8201069087
54000	0,1907894611	0,7973632775	0,6342259459	0,7606650926	0,5957609443	0,7720805913	0,8004728556	0,7614874542	0,0999691784	0,2749280632	0,7942365656	0,8029399663	0,0998149713	0,8022203942
54500	0,1955694854	0,7668328471	0,6502107345	0,7368935086	0,5873766439	0,758203125	0,7498972118	0,7781147249	0,1004317403	0,3086965382	0,801637883	0,794442157	0,1003631949	0,7945106924
55000	0,2040501833	0,7742341682	0,5429944545	0,7751079388	0,5740966862	0,7862253308	0,765008226	0,7270250879	0,1000719666	0,3077200055	0,7981428156	0,80859375	0,1004317403	0,7963267565
55500	0,1913548708	0,7947419807	0,6053916588	0,7802477367	0,5929340618	0,7730879962	0,7995477021	0,7588661611	0,1004317701	0,1470497549	0,7832373927	0,8073259294	0,1004317403	0,8109580626
56000	0,1648334563	0,7866467945	0,479903385	0,785464637	0,5542120682	0,7776521415	0,828741774	0,7565275468	0,1000719368	0,1418585479	0,7884457211	0,7927631537	0,0997807185	0,8168517003
56500	0,1628289521	0,7846422717	0,5141087472	0,7645199411	0,556524978	0,7608552665	0,8153782934	0,7501798905	0,1000205576	0,2560135722	0,7850534568	0,8151384294	0,0996779005	0,8093133221
57000	0,1940789521	0,767886512	0,5664319545	0,7660361864	0,5736084012	0,7827919394	0,8156866729	0,7222707644	0,1000719666	0,3324424326	0,7885142515	0,8071888685	0,1033443014	0,8047217677
57500	0,1887849569	0,7733604051	0,6009971276	0,7659076899	0,5822625449	0,776007399	0,7919407934	0,6807925627	0,1001233459	0,3048931062	0,7843338797	0,8072916667	0,1006716092	0,8094846507
